MOD.RoleManager.Uptime;FLOAT;OPC_QUALITY_GOOD;
MOD.RoleManager.BootTime;FLOAT;OPC_QUALITY_GOOD;
MOD.RoleManager.Status;STRING;OPC_QUALITY_GOOD;Starting
MOD.RoleManager.StatusCode;FLOAT;OPC_QUALITY_GOOD;0
MOD.RoleManager.EnabledRequest;FLOAT;OPC_QUALITY_GOOD;
MOD.RoleManager.Enabled;FLOAT;OPC_QUALITY_GOOD;
MOD.WebServer.Uptime;FLOAT;OPC_QUALITY_GOOD;
MOD.WebServer.BootTime;FLOAT;OPC_QUALITY_GOOD;
MOD.WebServer.Status;STRING;OPC_QUALITY_GOOD;Starting
MOD.WebServer.StatusCode;FLOAT;OPC_QUALITY_GOOD;0
MOD.WebServer.EnabledRequest;FLOAT;OPC_QUALITY_GOOD;
MOD.WebServer.Enabled;FLOAT;OPC_QUALITY_GOOD;
NODE_Jalon.Active;BOOL;OPC_QUALITY_OUT_OF_SERVICE;TRUE
NODE_Jalon.ActivePower;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.ReactivePower;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.Current;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.VoltageR;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.VoltageS;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.VoltageT;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.SetpointApplied;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.CECOELSetpointReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.CECOELSetpointMotive;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.CECORESetpointReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.CECORESetpointMotive;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.CECORERoleReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.RemainingTime;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.ActivePowerAds;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.GridConnection;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;2
NODE_Jalon.WindDirection;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.WindSpeed;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.Temperature;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Jalon.CircuitClosed;BOOL;OPC_QUALITY_OUT_OF_SERVICE;TRUE
NODE_Tauste.Active;BOOL;OPC_QUALITY_OUT_OF_SERVICE;TRUE
NODE_Tauste.ActivePower;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.ReactivePower;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.Current;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.VoltageR;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.VoltageS;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.VoltageT;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.SetpointApplied;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.CECOELSetpointReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.CECOELSetpointMotive;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.CECORESetpointReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.CECORESetpointMotive;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.CECORERoleReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.RemainingTime;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.ActivePowerAds;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.GridConnection;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;2
NODE_Tauste.WindDirection;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.WindSpeed;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.Temperature;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Tauste.CircuitClosed;BOOL;OPC_QUALITY_OUT_OF_SERVICE;TRUE
NODE_Espejo.Active;BOOL;OPC_QUALITY_OUT_OF_SERVICE;TRUE
NODE_Espejo.ActivePower;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.ReactivePower;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.Current;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.VoltageR;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.VoltageS;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.VoltageT;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.SetpointApplied;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.CECOELSetpointReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.CECOELSetpointMotive;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.CECORESetpointReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.CECORESetpointMotive;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.CECORERoleReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.RemainingTime;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.ActivePowerAds;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.GridConnection;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;2
NODE_Espejo.WindDirection;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.WindSpeed;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.Temperature;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Espejo.CircuitClosed;BOOL;OPC_QUALITY_OUT_OF_SERVICE;TRUE
NODE_Zuera.Active;BOOL;OPC_QUALITY_OUT_OF_SERVICE;TRUE
NODE_Zuera.ActivePower;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.ReactivePower;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.Current;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.VoltageR;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.VoltageS;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.VoltageT;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.SetpointApplied;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.CECOELSetpointReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.CECOELSetpointMotive;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.CECORESetpointReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.CECORESetpointMotive;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.CECORERoleReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.RemainingTime;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.ActivePowerAds;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.GridConnection;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;2
NODE_Zuera.WindDirection;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.WindSpeed;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.Temperature;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Zuera.CircuitClosed;BOOL;OPC_QUALITY_OUT_OF_SERVICE;TRUE
NODE_C9Logistica.Active;BOOL;OPC_QUALITY_OUT_OF_SERVICE;TRUE
NODE_C9Logistica.ActivePower;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.ReactivePower;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.Current;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.VoltageR;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.VoltageS;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.VoltageT;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.SetpointApplied;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.CECOELSetpointReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.CECOELSetpointMotive;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.CECORESetpointReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.CECORESetpointMotive;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.CECORERoleReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.RemainingTime;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.ActivePowerAds;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.GridConnection;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;2
NODE_C9Logistica.WindDirection;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.WindSpeed;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.Temperature;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_C9Logistica.CircuitClosed;BOOL;OPC_QUALITY_OUT_OF_SERVICE;TRUE
NODE_Pradillo.Active;BOOL;OPC_QUALITY_OUT_OF_SERVICE;TRUE
NODE_Pradillo.ActivePower;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.ReactivePower;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.Current;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.VoltageR;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.VoltageS;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.VoltageT;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.SetpointApplied;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.CECOELSetpointReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.CECOELSetpointMotive;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.CECORESetpointReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.CECORESetpointMotive;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.CECORERoleReceived;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.RemainingTime;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.ActivePowerAds;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.GridConnection;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;2
NODE_Pradillo.WindDirection;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.WindSpeed;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
NODE_Pradillo.Temperature;FLOAT;OPC_QUALITY_OUT_OF_SERVICE;
